1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0608311607e-18,1.0000000000e+00,-5.7513537119e-19,-1.1238009628e-18,3.8870341949e-18,2.2624250021e-18,-1.4111568901e-18,-6.3942517188e-18,-7.2243440071e-18,-3.9217625458e-19,-1.9930685249e-18,6.8685901693e-18,2.7189757607e-19,4.5570372562e-19,5.9377009603e-19,-1.5746342489e-18
-1.2436031852e-18,1.4542496913e-19,1.0000000000e+00,-5.8821144231e-19,3.3017873680e-18,-1.2396856579e-18,-1.6298502092e-18,5.0390519428e-18,2.1526812959e-18,-1.0981305705e-17,-1.5687579579e-18,-1.6890366364e-18,-5.0292581243e-21,-2.0337790459e-18,-1.4981365859e-18,6.7789105560e-19
6.0986372202e-20,-6.4480383110e-20,-1.4466263948e-18,1.0000000000e+00,4.6300938479e-19,2.1479696751e-18,8.3432745305e-20,-7.7291756437e-20,5.8339394242e-20,-2.1382287962e-18,-6.6120450654e-18,5.4210108624e-20,8.5635030967e-19,4.8534987878e-19,2.4193378556e-19,3.8645878218e-20
2.0257322329e-19,-8.2082786545e-20,2.1974416932e-18,2.1735130124e-18,1.0000000000e+00,-4.9427019450e-19,-1.5033511325e-18,-3.5797465236e-18,4.0909044374e-19,2.0543195949e-19,-9.3663315121e-19,7.0195208526e-19,5.6507950191e-18,8.0512334521e-18,-3.8146922873e-18,4.6494167870e-19
3.1975493759e-20,-2.6391429054e-18,-1.5860691937e-19,7.2696602698e-19,3.3267219003e-19,1.0000000000e+00,-7.8287020150e-19,-1.7554757832e-19,-8.8663173754e-19,8.8324360575e-19,-9.7787836178e-18,2.9436512499e-18,-1.9644811629e-18,3.4467888206e-18,-2.1279585217e-18,7.2823657640e-19
5.8233515124e-20,-8.6185602383e-20,1.4355090874e-18,-4.9794949387e-19,-5.4654800922e-19,6.1081663409e-18,1.0000000000e+00,5.5402307498e-18,-1.4304268897e-18,-5.9658648057e-18,-1.2220567847e-18,-3.6327125525e-18,-7.9557569571e-19,4.1716372652e-20,-4.2542229776e-19,9.5354734037e-19
1.4473675486e-18,1.2284095318e-18,-1.3427589796e-18,3.4558944248e-19,-9.0230184706e-19,2.9368749864e-18,3.8772933161e-19,1.0000000000e+00,-1.7421350143e-18,-8.6966990277e-18,1.5352472169e-19,-5.3426603148e-19,1.7861807275e-18,-6.0077929366e-18,2.8678418012e-18,-5.4025878958e-18
5.8577622259e-20,1.8409731713e-19,1.1522295061e-19,-7.7882032522e-19,3.7060338420e-19,8.8237010302e-19,-1.6820750843e-18,-5.8252043969e-19,1.0000000000e+00,-4.0799194789e-18,-6.1200777417e-19,5.2234139577e-18,7.3930094428e-20,2.6505513804e-18,6.1677233450e-19,4.5795365689e-19
-2.3007532430e-19,-4.3399850635e-19,9.2114833014e-21,4.3611608872e-19,5.4623037186e-19,2.5022412053e-18,2.7819738361e-18,-3.1205752568e-18,-2.3028708253e-19,1.0000000000e+00,-3.6768641449e-18,-1.3187244198e-18,2.5316756002e-18,1.0588970632e-18,-3.3996726129e-18,1.4939543607e-19
-1.5543054582e-19,8.4660943078e-19,8.6820877094e-20,2.7306224637e-19,-1.4869663389e-18,5.5480658045e-20,2.4326786245e-18,1.5034834814e-19,1.0109338225e-18,7.8816415742e-19,1.0000000000e+00,4.4168533035e-18,4.8674748314e-18,1.1926223897e-18,-2.9646153154e-21,-1.1278243693e-18
-4.3495141842e-19,2.2488724750e-19,1.8677076487e-19,8.7074986978e-19,-2.0968300609e-18,-8.2712767299e-19,2.9514863047e-18,2.3958326913e-18,-1.1727171155e-18,1.1591645883e-18,-7.4920064185e-19,1.0000000000e+00,2.5834504891e-20,-2.8854177348e-18,-3.2267720126e-18,-2.1357935765e-18
6.8742017626e-20,-1.3790755172e-20,4.1433146011e-19,1.6625668568e-19,1.9402613146e-18,-2.8277400851e-18,-1.0794111424e-18,9.4902894899e-18,1.0808934500e-18,1.0421946323e-18,7.0841071148e-19,5.8432038471e-19,1.0000000000e+00,6.1439005433e-19,1.1501119237e-19,-5.4355692412e-19
-8.1876322264e-19,-2.5696862037e-19,-1.9831158878e-19,3.2866995936e-18,-1.5433999090e-18,4.4614284123e-18,1.9700927562e-18,7.2664838963e-19,-2.5198171390e-18,2.1386523127e-18,1.9550579214e-18,-2.1588752243e-19,-4.1666609467e-18,1.0000000000e+00,-3.8169422186e-19,-5.5957114078e-19
1.1912459612e-18,4.8912976330e-18,-2.0058798982e-18,-7.7005882817e-19,-1.5352472169e-20,-2.8755709768e-18,-3.0371425115e-18,6.6914544042e-18,6.3961575430e-19,2.9941555894e-18,3.9069394692e-20,2.5395106550e-18,2.4478193384e-18,-2.3611043405e-20,1.0000000000e+00,-1.6454673792e-18
-1.0842021725e-19,6.5052130349e-19,2.1684043450e-19,-2.7105054312e-20,-2.1684043450e-19,-2.1684043450e-19,-1.0842021725e-19,0.0000000000e+00,3.2526065175e-18,1.0842021725e-18,-2.1684043450e-19,0.0000000000e+00,2.1684043450e-19,-2.1684043450e-19,1.0842021725e-18,1.0000000000e+00
