 (1.0068258300e+00+0.0000000000e+00j)
 (1.2879817000e-03+0.0000000000e+00j)
 (4.6924836700e-04+0.0000000000e+00j)
 (5.6694363200e-04+0.0000000000e+00j)
 (-1.5688392000e-03+0.0000000000e+00j)
 (-5.0186539800e-03+0.0000000000e+00j)
 (-2.6108243600e-03+0.0000000000e+00j)
 (-2.2868007200e-04+0.0000000000e+00j)
 (2.0959891600e-03+0.0000000000e+00j)
 (3.9346132800e-03+0.0000000000e+00j)
 (3.6166287600e-03+0.0000000000e+00j)
 (-1.7530684500e-03+0.0000000000e+00j)
 (-3.4613013100e-03+0.0000000000e+00j)
 (-8.2782128200e-04+0.0000000000e+00j)
 (-3.7748519300e-04+0.0000000000e+00j)
 (-2.9505658000e-03+0.0000000000e+00j)
