 (1.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j)
 (3.5280458428e-02+0.0000000000e+00j), (1.0221143580e+00+0.0000000000e+00j), (-1.6016613464e-03+0.0000000000e+00j), (-5.7569394206e-03+0.0000000000e+00j), (5.9057276676e-03+0.0000000000e+00j), (-8.8626706748e-03+0.0000000000e+00j), (7.2135877609e-03+0.0000000000e+00j), (-6.9705653103e-03+0.0000000000e+00j), (6.5455359351e-03+0.0000000000e+00j), (-1.1216785105e-02+0.0000000000e+00j), (-1.1357415343e-02+0.0000000000e+00j), (2.3494275352e-02+0.0000000000e+00j), (-2.4581768323e-03+0.0000000000e+00j), (3.5530595569e-03+0.0000000000e+00j), (-1.6343422825e-03+0.0000000000e+00j), (-4.8937687506e-03+0.0000000000e+00j)
 (1.1490026539e-03+0.0000000000e+00j), (-8.9404272212e-04+0.0000000000e+00j), (1.0938721269e+00+0.0000000000e+00j), (-1.2483185783e-03+0.0000000000e+00j), (4.6996927502e-03+0.0000000000e+00j), (-7.4767728175e-04+0.0000000000e+00j), (2.4354015675e-04+0.0000000000e+00j), (7.6526120836e-03+0.0000000000e+00j), (6.5754184136e-04+0.0000000000e+00j), (4.2917282088e-03+0.0000000000e+00j), (-8.0149325161e-03+0.0000000000e+00j), (-4.2966386617e-03+0.0000000000e+00j), (3.2334278652e-02+0.0000000000e+00j), (-1.6468293444e-03+0.0000000000e+00j), (3.5519915200e-02+0.0000000000e+00j), (-5.1023569840e-03+0.0000000000e+00j)
 (-1.4473321836e-03+0.0000000000e+00j), (5.3135081647e-03+0.0000000000e+00j), (-1.2213700856e-03+0.0000000000e+00j), (1.1003905203e+00+0.0000000000e+00j), (-1.3544515698e-02+0.0000000000e+00j), (7.7081330607e-03+0.0000000000e+00j), (1.2428636177e-03+0.0000000000e+00j), (4.0854825157e-03+0.0000000000e+00j), (3.9793625601e-03+0.0000000000e+00j), (3.7086591069e-03+0.0000000000e+00j), (-1.0554087836e-02+0.0000000000e+00j), (-7.8030319967e-03+0.0000000000e+00j), (3.1618693591e-02+0.0000000000e+00j), (3.3912521481e-03+0.0000000000e+00j), (1.0664423309e-03+0.0000000000e+00j), (3.3405003735e-02+0.0000000000e+00j)
 (6.4962542807e-04+0.0000000000e+00j), (3.4891443669e-02+0.0000000000e+00j), (8.5713033515e-03+0.0000000000e+00j), (1.0781648437e-03+0.0000000000e+00j), (1.0905107567e+00+0.0000000000e+00j), (3.4340963518e-02+0.0000000000e+00j), (-6.3329713134e-03+0.0000000000e+00j), (-5.1603432949e-03+0.0000000000e+00j), (-1.0310034739e-02+0.0000000000e+00j), (4.0067359200e-03+0.0000000000e+00j), (-1.4297342294e-03+0.0000000000e+00j), (1.6188386933e-03+0.0000000000e+00j), (-6.7199854206e-03+0.0000000000e+00j), (6.5672555802e-04+0.0000000000e+00j), (9.7499113169e-04+0.0000000000e+00j), (3.8477725381e-03+0.0000000000e+00j)
 (3.0193087322e-02+0.0000000000e+00j), (2.1389272803e-03+0.0000000000e+00j), (-6.1711165840e-03+0.0000000000e+00j), (-3.1879131555e-04+0.0000000000e+00j), (-7.0160129605e-03+0.0000000000e+00j), (1.0248062957e+00+0.0000000000e+00j), (6.0907473318e-03+0.0000000000e+00j), (-5.5150162795e-03+0.0000000000e+00j), (1.8331230443e-03+0.0000000000e+00j), (-2.5986279491e-03+0.0000000000e+00j), (-1.1552056348e-03+0.0000000000e+00j), (-3.3827641578e-03+0.0000000000e+00j), (-2.6170292898e-03+0.0000000000e+00j), (8.8120811528e-03+0.0000000000e+00j), (-1.7280039799e-03+0.0000000000e+00j), (-1.9568574692e-03+0.0000000000e+00j)
 (1.5074620398e-03+0.0000000000e+00j), (-2.6159593012e-03+0.0000000000e+00j), (4.4433550137e-03+0.0000000000e+00j), (-7.0248419759e-03+0.0000000000e+00j), (1.2053767020e-02+0.0000000000e+00j), (-4.7645314204e-03+0.0000000000e+00j), (1.1046319869e+00+0.0000000000e+00j), (4.9231842088e-03+0.0000000000e+00j), (-4.6342647298e-03+0.0000000000e+00j), (3.7633013267e-02+0.0000000000e+00j), (9.5953682915e-03+0.0000000000e+00j), (9.1023978254e-03+0.0000000000e+00j), (9.4924549959e-04+0.0000000000e+00j), (8.0197814159e-04+0.0000000000e+00j), (-5.9063541336e-03+0.0000000000e+00j), (3.1928900497e-02+0.0000000000e+00j)
 (-3.8980842423e-03+0.0000000000e+00j), (1.0922339220e-02+0.0000000000e+00j), (9.7154231427e-03+0.0000000000e+00j), (4.9891316010e-03+0.0000000000e+00j), (-1.8088046312e-02+0.0000000000e+00j), (-6.1382591849e-03+0.0000000000e+00j), (-1.0232416801e-02+0.0000000000e+00j), (1.0913230293e+00+0.0000000000e+00j), (-2.1772287930e-02+0.0000000000e+00j), (-2.5150463124e-02+0.0000000000e+00j), (9.9765132280e-03+0.0000000000e+00j), (6.4215651529e-03+0.0000000000e+00j), (-3.1805863329e-03+0.0000000000e+00j), (2.9719377377e-03+0.0000000000e+00j), (-3.5541588781e-02+0.0000000000e+00j), (-3.6579470435e-04+0.0000000000e+00j)
 (-3.8073039603e-03+0.0000000000e+00j), (4.3421642426e-02+0.0000000000e+00j), (6.4322006488e-03+0.0000000000e+00j), (-1.0740642052e-03+0.0000000000e+00j), (-2.8348094407e-02+0.0000000000e+00j), (9.0280314071e-03+0.0000000000e+00j), (5.4158883602e-04+0.0000000000e+00j), (2.0633414700e-02+0.0000000000e+00j), (1.0744409658e+00+0.0000000000e+00j), (4.5872961522e-02+0.0000000000e+00j), (1.0574621280e-03+0.0000000000e+00j), (-1.4269121931e-02+0.0000000000e+00j), (-5.5518310305e-03+0.0000000000e+00j), (1.2214125415e-03+0.0000000000e+00j), (4.7367304904e-03+0.0000000000e+00j), (5.2231228932e-04+0.0000000000e+00j)
 (3.2044407911e-02+0.0000000000e+00j), (9.6665647102e-03+0.0000000000e+00j), (2.6536060853e-03+0.0000000000e+00j), (-5.0517195861e-04+0.0000000000e+00j), (-2.2056345671e-02+0.0000000000e+00j), (5.8559649870e-03+0.0000000000e+00j), (3.7438562921e-03+0.0000000000e+00j), (7.5673806675e-03+0.0000000000e+00j), (-1.8034776478e-02+0.0000000000e+00j), (1.0222150741e+00+0.0000000000e+00j), (-3.1821326690e-03+0.0000000000e+00j), (-2.3330486981e-03+0.0000000000e+00j), (-3.6119775649e-03+0.0000000000e+00j), (3.6781709501e-04+0.0000000000e+00j), (5.3897081617e-03+0.0000000000e+00j), (-1.2823709780e-03+0.0000000000e+00j)
